Dataset,Notes,Threshold,Max Score Edges,Peptides Min Detectability,Psi1,Psi2,Proteins,Peptides,Protein Edges,Proteins with Spectra,Proteins Spectra Paths,Target Proteins,Target Proteins associated Spectra,Target Proteins with Spectra,Decoy Proteins,Decoy Proteins associated Spectra,Decoy Proteins with Spectra,Identifiable Proteins Ratio,Score Edges,Peptides with Spectra,True Positives,False Positives,True Negatives,False Negatives,Accuracy,Specificity,Sensitivity,False Negatives Rate,Positive Predictive Value,Negative Predictive Value
UPS+Yeast,,7,2,0.0,1,10,24629,15196,483101,8030,27335,1417,453,204,23212,26882,7826,0.0260669562995144,25455,15196,1,361,22851,1416,0.9278492833651386,0.9844476994657936,0.0007057163020465,0.9992942836979536,0.0027624309392265,0.941649153170973
UPS+Yeast,,7,3,0.0,1,10,24629,18730,483101,8974,40996,1417,650,233,23212,40346,8741,0.0266559890172749,38181,18730,1,361,22851,1416,0.9278492833651386,0.9844476994657936,0.0007057163020465,0.9992942836979536,0.0027624309392265,0.941649153170973
UPS+Yeast,,7,4,0.0,1,10,24629,21033,483101,9564,54699,1417,821,250,23212,53878,9314,0.0268413141507408,50907,21033,1,430,22782,1416,0.92504770798652,0.9814750990866792,0.0007057163020465,0.9992942836979536,0.0023201856148491,0.9414827671708406
UPS+Yeast,,7,10,0.0,1,10,24629,26043,483101,10460,136283,1417,2084,288,23212,134199,10172,0.0283130161226897,127252,26043,1,680,22532,1416,0.914897072556742,0.9707048078580044,0.0007057163020465,0.9992942836979536,0.0014684287812041,0.9408718890930348
UPS+Yeast,,12,2,0.0,1,10,24629,16662,483101,8688,27495,1417,474,241,23212,27021,8447,0.0285308393512489,25430,16662,0,205,23007,1417,0.934142677331601,0.9911683611924866,0.0,1.0,0.0,0.9419832951195546
UPS+Yeast,,12,3,0.0,1,10,24629,20802,483101,9735,41175,1417,684,278,23212,40491,9457,0.0293962144443269,38141,20802,1,274,22938,1416,0.9313817044947014,0.9881957608133723,0.0007057163020465,0.9992942836979536,0.0036363636363636,0.9418576003941858
UPS+Yeast,,12,4,0.0,1,10,24629,23538,483101,10360,54803,1417,892,300,23212,53911,10060,0.0298210735586481,50851,23538,1,347,22865,1416,0.9284177189492062,0.9850508357745994,0.0007057163020465,0.9992942836979536,0.0028735632183908,0.9416827972488776
UPS+Yeast,,17,2,0.0,1,10,24629,17513,483101,8993,27293,1417,509,276,23212,26784,8717,0.0316622691292876,25387,17513,0,127,23085,1417,0.9373096755856916,0.9945286920558332,0.0,1.0,0.0,0.9421679862868336
UPS+Yeast,,17,3,0.0,1,10,24629,22217,483101,10151,40929,1417,698,316,23212,40231,9835,0.0321301474326385,38075,22217,0,205,23007,1417,0.934142677331601,0.9911683611924866,0.0,1.0,0.0,0.9419832951195546
UPS+Yeast,,17,4,0.0,1,10,24629,25432,483101,10832,54542,1417,926,334,23212,53616,10498,0.0318155839207468,50762,25432,0,275,22937,1417,0.9313004994112632,0.9881526796484577,0.0,1.0,0.0,0.941816539377515
UPS+Yeast,,17,10,0.0,1,10,24629,33417,483101,12330,136178,1417,2141,392,23212,134037,11938,0.0328363209917909,126869,33417,1,516,22696,1416,0.9215558893986764,0.9777701189040152,0.0007057163020465,0.9992942836979536,0.0019342359767891,0.9412740544127406
UPS+Yeast,,27,2,0.0,1,10,24629,18797,483101,9633,27416,1417,591,320,23212,26825,9313,0.0343605712444969,25316,18797,0,89,23123,1417,0.938852572171018,0.9961657763225916,0.0,1.0,0.0,0.9422575387123064
UPS+Yeast,,27,3,0.0,1,10,24629,24352,483101,10912,40973,1417,842,381,23212,40131,10531,0.0361789003893267,37969,24352,1,150,23062,1416,0.9364164196678711,0.9935378252627952,0.0007057163020465,0.9992942836979536,0.0066225165562913,0.9421521366124684
UPS+Yeast,,27,4,0.0,1,10,24629,28315,483101,11688,54571,1417,1099,412,23212,53472,11276,0.0365377793543809,50622,28315,2,208,23004,1415,0.9341020747898818,0.9910391176977426,0.0014114326040931,0.9985885673959068,0.0095238095238095,0.9420533191367376
UPS+Yeast,,27,10,0.0,1,10,24629,38735,483101,13379,135947,1417,2467,465,23212,133480,12914,0.036007433792783,126528,38735,2,454,22758,1415,0.9241138495269804,0.9804411511287264,0.0014114326040931,0.9985885673959068,0.0043859649122807,0.9414636164315558
UPS+Yeast,,37,2,0.0,1,10,24629,19660,483101,9932,27461,1417,628,343,23212,26833,9589,0.035770153300657,25279,19660,1,72,23140,1416,0.939583417921962,0.9968981561261416,0.0007057163020465,0.9992942836979536,0.0136986301369863,0.9423358853233426
UPS+Yeast,,37,3,0.0,1,10,24629,25912,483101,11355,41068,1417,886,402,23212,40182,10953,0.0367022733497671,37911,25912,1,111,23101,1416,0.9379999187949164,0.9952179906944684,0.0007057163020465,0.9992942836979536,0.0089285714285714,0.9422441571154708
UPS+Yeast,,37,4,0.0,1,10,24629,30597,483101,12216,54639,1417,1145,435,23212,53494,11781,0.0369238604532722,50540,30597,0,169,23043,1417,0.935604368833489,0.9927192831294158,0.0,1.0,0.0,0.942068683565004
UPS+Yeast,,100,4,0.0,1,10,24629,38283,483101,14586,55909,1417,1601,633,23212,54308,13953,0.045366587830574,49991,38283,3,162,23050,1414,0.93601039425068,0.9930208512838188,0.0021171489061397,0.9978828510938602,0.0181818181818181,0.942200784826684
UPS+Yeast,,100,5,0.0,1,10,24629,44338,483101,15363,69764,1417,1975,673,23212,67789,14690,0.0458134785568413,62483,44338,4,226,22986,1413,0.933452434122376,0.990263656729278,0.0028228652081863,0.9971771347918136,0.017391304347826,0.9420877904832166
UPS+Yeast,,200,4,0.0,1,10,24629,42582,483101,15620,56355,1417,1982,825,23212,54373,14795,0.0557620817843866,49223,42582,1,111,23101,1416,0.9379999187949164,0.9952179906944684,0.0007057163020465,0.9992942836979536,0.0089285714285714,0.9422441571154708
UPS+Yeast,,500,4,0.0,1,10,24629,44707,483101,14612,56990,1417,3859,1095,23212,53131,13517,0.0810090996522897,47465,44707,7,90,23122,1410,0.9390961874213326,0.996122695157677,0.004940014114326,0.995059985885674,0.0721649484536082,0.9425240502201206
UPS+Yeast,,500,10,0.0,1,10,24629,97347,483101,18020,140983,1417,8612,1256,23212,132371,16764,0.0749224528752087,118494,97347,29,482,22730,1388,0.9240732469852612,0.9792348785111148,0.0204657727593507,0.9795342272406492,0.0567514677103718,0.9424496226884485
UPS+Yeast,,1000,4,0.0,1,10,24629,40271,483101,11803,57934,1417,7195,1126,23212,50739,10677,0.1054603353001779,44979,40271,41,123,23089,1376,0.9391367899630516,0.994701016715492,0.0289343683839096,0.9710656316160904,0.25,0.9437563866748416
UPS+Yeast,,2000,4,0.0,1,10,24629,35580,483101,13315,50696,1417,5405,1115,23212,45291,12200,0.0913934426229508,40528,35580,25,88,23124,1392,0.9399082382557148,0.9962088574875064,0.0176429075511644,0.9823570924488356,0.2212389380530973,0.9432207537934412
UPS+Yeast,,2000,10,0.0,1,10,24629,82304,483101,18416,123628,1417,11919,1299,23212,111709,17117,0.0758894666121399,100443,82304,93,419,22793,1324,0.9292297697835884,0.981948991900741,0.0656316160903316,0.9343683839096684,0.181640625,0.9451009661234814
UPS+Yeast,,3000,4,0.0,1,10,24629,31616,483101,13612,45168,1417,4629,1096,23212,40539,12516,0.0875679130712687,35940,31616,7,56,23156,1410,0.9404766738397824,0.9975874547647768,0.004940014114326,0.995059985885674,0.1111111111111111,0.9426035984694292
UPS+Yeast,,3000,10,0.0,1,10,24629,74012,483101,19298,108136,1417,10009,1301,23212,98127,17997,0.0722898260821248,88148,74012,64,321,22891,1353,0.9320313451622072,0.9861709460623816,0.0451658433309809,0.954834156669019,0.1662337662337662,0.9441923774954628
UPS+Yeast,,4000,10,0.0,1,10,24629,67666,483101,18655,91958,1417,8078,1258,23212,83880,17397,0.0723113180433408,75418,67666,45,235,22977,1372,0.9347517154573876,0.9898759262450456,0.0317572335920959,0.968242766407904,0.1607142857142857,0.943652716744014
UPS+Yeast,,5000,4,0.0,1,10,24629,23129,483101,12099,31851,1417,2971,981,23212,28880,11118,0.088235294117647,25758,23129,5,42,23170,1412,0.9409639043404115,0.9981905910735828,0.0035285815102328,0.9964714184897672,0.1063829787234042,0.9425595964526888
UPS+Yeast,,5000,10,0.0,1,10,24629,53948,483101,17770,73851,1417,6153,1221,23212,67698,16549,0.0737808931053235,60860,53948,28,182,23030,1389,0.9362134069592756,0.9921592279855248,0.0197600564573041,0.9802399435426958,0.1333333333333333,0.9431180638027764
