Dataset,Notes,Detectability Model,Threshold,Max Score Edges,Peptides Min Detectability,Psi1,Psi2,Spectra Error Rate,False Edges,Proteins,Peptides,Protein Edges,Proteins with Spectra,Proteins Spectra Paths,Target Proteins,Target Proteins associated Spectra,Target Proteins with Spectra,Decoy Proteins,Decoy Proteins associated Spectra,Decoy Proteins with Spectra,Identifiable Proteins Ratio,Score Edges,Peptides with Spectra,True Positives,False Positives,True Negatives,False Negatives,Accuracy,Specificity,Sensitivity,False Negatives Rate,Positive Predictive Value,Negative Predictive Value
old_tests,,1,,,0.0,1,10,0.0,1,24629,41002,483101,17586,110343,198,39562,196,24431,70781,17390,0.0081044574515983,78178,41002,184,34,24397,14,0.9980510779974826,0.9986083254881094,0.9292929292929292,0.0707070707070707,0.8440366972477065,0.999426488058662
old_tests,,1,,,0.0,1,10,0.0,1,24629,33396,483101,15951,89022,198,31442,198,24431,57580,15753,0.0081044574515983,62280,33396,186,27,24404,12,0.9984165008729546,0.9988948467111456,0.9393939393939394,0.0606060606060605,0.8732394366197183,0.999508519003932
old_tests,,1,,,0.0,1,10,0.0,1,24629,34684,483101,16512,90525,200,33160,200,24429,57365,16312,0.0081869908715051,65182,34684,187,31,24398,13,0.9982134881643592,0.9987310164149168,0.935,0.0649999999999999,0.8577981651376146,0.9994674531973292
old_tests,,1,,,0.0,1,10,0.0,1,24629,36578,483101,16854,117044,199,36428,198,24430,80616,16656,0.00814572247237,69174,36578,190,30,24400,9,0.9984165008729546,0.9987720016373312,0.9547738693467336,0.0452261306532663,0.8636363636363636,0.9996312835429556
old_tests,,1,,,0.0,1,10,0.0,1,24629,33499,483101,16147,120538,195,33306,195,24434,87232,15952,0.0079806826553163,63126,33499,178,32,24402,17,0.9980104754557636,0.9986903495129738,0.9128205128205128,0.0871794871794872,0.8476190476190476,0.9993038207952823
old_tests,,1,,,0.0,1,10,0.2,1,24629,31102,483101,15547,81037,196,29590,196,24433,51447,15351,0.0080219375434862,57566,31102,183,50,24383,13,0.997442039871696,0.9979535873613556,0.9336734693877552,0.0663265306122449,0.7854077253218884,0.9994671257583212
old_tests,,1,,,0.0,1,10,0.2,1,24629,34055,483101,16259,132082,198,32358,198,24431,99724,16061,0.0081044574515983,63148,34055,185,65,24366,13,0.9968330017459092,0.9973394457860916,0.9343434343434344,0.0656565656565656,0.74,0.999466754173674
old_tests,,1,,,0.0,1,10,0.2,1,24629,30723,483101,15335,81030,193,29005,193,24436,52025,15142,0.0078981830086757,55878,30723,182,46,24390,11,0.9976856551220108,0.9981175315108856,0.9430051813471504,0.0569948186528497,0.7982456140350878,0.9995491988033276
old_tests,,1,,,0.0,1,10,0.2,1,24629,27295,483101,14536,75708,198,25662,196,24431,50046,14340,0.0081044574515983,49810,27295,185,41,24390,13,0.997807462747168,0.9983218042650732,0.9343434343434344,0.0656565656565656,0.8185840707964602,0.9994672786132852
old_tests,,1,,,0.0,1,10,0.2,1,24629,32495,483101,15911,118562,199,30665,199,24430,87897,15712,0.00814572247237,59788,32495,185,53,24377,14,0.9972796297048196,0.9978305362259516,0.9296482412060302,0.0703517587939698,0.7773109243697479,0.9994260177934484
old_tests,,1,,,0.0,1,10,0.4,1,24629,24946,483101,13703,86132,195,22912,195,24434,63220,13508,0.0079806826553163,44124,24946,180,41,24393,15,0.9977262576637298,0.9983220103134977,0.9230769230769232,0.0769230769230768,0.8144796380090498,0.9993854473942968
old_tests,,1,,,0.0,1,10,0.4,1,24629,25058,483101,13787,60946,196,22333,196,24433,38613,13591,0.0080219375434862,44214,25058,183,47,24386,13,0.9975638474968532,0.9980763721196744,0.9336734693877552,0.0663265306122449,0.7956521739130434,0.9994671912783312
old_tests,,1,,,0.0,1,10,0.4,1,24629,24488,483101,13636,76980,200,22060,200,24429,54920,13436,0.0081869908715051,43680,24488,183,49,24380,17,0.9973202322465388,0.9979941872364811,0.915,0.0849999999999999,0.7887931034482759,0.9993031930155348
old_tests,,1,,,0.0,1,10,0.4,1,24629,27336,483101,14359,70497,200,24515,199,24429,45982,14160,0.0081869908715051,48458,27336,186,46,24383,14,0.9975638474968532,0.9981169920995538,0.93,0.0699999999999999,0.8017241379310345,0.9994261589539698
old_tests,,1,,,0.0,1,10,0.4,1,24629,23056,483101,13304,71520,196,21193,195,24433,50327,13109,0.0080219375434862,40650,23056,181,47,24386,15,0.9974826424134152,0.9980763721196744,0.923469387755102,0.0765306122448979,0.793859649122807,0.999385271095447
old_tests,,1,,,0.0,1,10,0.6,1,24629,22540,483101,12960,65771,196,19392,196,24433,46379,12764,0.0080219375434862,38246,22540,175,45,24388,21,0.9973202322465388,0.99815822862522,0.8928571428571429,0.1071428571428571,0.7954545454545454,0.9991396616002294
old_tests,,1,,,0.0,1,10,0.6,1,24629,18685,483101,11415,42413,200,15960,200,24429,26453,11215,0.0081869908715051,31224,18685,181,37,24392,19,0.9977262576637298,0.9984854066887716,0.905,0.0949999999999999,0.8302752293577982,0.9992216623653272
old_tests,,1,,,0.0,1,10,0.6,1,24629,18568,483101,11481,44337,196,15827,195,24433,28510,11286,0.0080219375434862,31236,18568,176,30,24403,20,0.9979698729140444,0.9987721524168132,0.8979591836734694,0.1020408163265306,0.8543689320388349,0.9991810997829914
old_tests,,1,,,0.0,1,10,0.6,1,24629,19896,483101,11924,60008,198,16830,198,24431,43178,11726,0.0081044574515983,33082,19896,185,34,24397,13,0.9980916805392016,0.9986083254881094,0.9343434343434344,0.0656565656565656,0.8447488584474886,0.9994674313805816
old_tests,,1,,,0.0,1,10,0.6,1,24629,21479,483101,12379,60962,199,20880,199,24430,40082,12180,0.00814572247237,36586,21479,184,31,24399,15,0.9981322830809208,0.9987310683585756,0.9246231155778896,0.0753768844221105,0.8558139534883721,0.999385598427132
old_tests,,1,,,0.0,1,10,0.8,1,24629,12208,483101,8609,31883,198,9573,195,24431,22310,8414,0.0081044574515983,18978,12208,163,23,24408,35,0.9976450525802916,0.9990585731243092,0.8232323232323232,0.1767676767676768,0.8763440860215054,0.998568097205744
old_tests,,1,,,0.0,1,10,0.8,1,24629,12501,483101,8531,29304,196,9773,194,24433,19531,8337,0.0080219375434862,19350,12501,170,24,24409,26,0.9979698729140444,0.9990177219334506,0.8673469387755102,0.1326530612244898,0.8762886597938144,0.9989359525271128
old_tests,,1,,,0.0,1,10,0.8,1,24629,14104,483101,9325,31615,196,11092,195,24433,20523,9130,0.0080219375434862,21930,14104,165,35,24398,31,0.9973202322465388,0.9985675111529488,0.8418367346938775,0.1581632653061224,0.825,0.9987310164149168
old_tests,,1,,,0.0,1,10,0.8,1,24629,13481,483101,9005,31558,196,10644,195,24433,20914,8810,0.0080219375434862,20908,13481,150,35,24398,46,0.996711194120752,0.9985675111529488,0.7653061224489796,0.2346938775510204,0.8108108108108109,0.9981181476026836
old_tests,,1,,,0.0,1,10,0.8,1,24629,13500,483101,9050,31441,195,10662,192,24434,20779,8858,0.0079806826553163,21072,13500,152,37,24397,43,0.996751796662471,0.998485716624376,0.7794871794871795,0.2205128205128205,0.8042328042328042,0.998240589198036
old_tests,,1,,,0.0,1,10,1.0,1,24629,4734,483101,4641,12923,198,4464,161,24431,8459,4480,0.0081044574515983,8732,4734,1,11,24420,197,0.9915546713224248,0.9995497523638,0.005050505050505,0.9949494949494948,0.0833333333333333,0.9919974001706138
old_tests,,1,,,0.0,1,10,1.0,1,24629,4455,483101,4327,10762,197,4150,149,24432,6612,4178,0.0080631958087753,8210,4455,0,12,24420,197,0.9915140687807056,0.99950884086444,0.0,1.0,0.0,0.9919974001706138
old_tests,,1,,,0.0,1,10,1.0,1,24629,4728,483101,4585,13856,199,4728,158,24430,9128,4427,0.00814572247237,8754,4728,2,15,24415,197,0.9913922611555483,0.9993860008186656,0.0100502512562814,0.9899497487437184,0.1176470588235294,0.9919957744189826
old_tests,,1,,,0.0,1,10,1.0,1,24629,3613,483101,3534,9063,198,3325,140,24431,5738,3394,0.0081044574515983,6608,3613,2,13,24418,196,0.9915140687807056,0.9994678891572184,0.0101010101010101,0.98989898989899,0.1333333333333333,0.9920370520841796
old_tests,,1,,,0.0,1,10,1.0,1,24629,3745,483101,3813,9463,199,3469,148,24430,5994,3665,0.00814572247237,6866,3745,0,10,24420,199,0.9915140687807056,0.9995906672124436,0.0,1.0,0.0,0.9919168122182056
old_tests,,1,,,0.8,1,10,0.0,1,24443,38627,386606,15601,95586,197,33229,197,24246,62357,15404,0.0081250515548956,73440,38627,184,31,24215,13,0.998199893630078,0.9987214385878084,0.934010152284264,0.065989847715736,0.8558139534883721,0.9994634307412912
old_tests,,1,,,0.8,1,10,0.0,1,24443,37094,386606,15336,81924,196,32639,196,24247,49285,15140,0.0080834742442364,70034,37094,185,32,24215,11,0.9982408051384856,0.9986802491029818,0.9438775510204082,0.0561224489795918,0.8525345622119815,0.9995459423759596
old_tests,,1,,,0.8,1,10,0.0,1,24443,45470,386606,16727,174462,198,42870,198,24245,131592,16529,0.0081666322953186,87678,45470,190,33,24212,8,0.9983226281553,0.9986388946174468,0.9595959595959596,0.0404040404040404,0.852017937219731,0.9996696944673824
old_tests,,1,,,0.9,1,10,0.0,1,24267,36805,330570,14177,84741,196,30358,196,24071,54383,13981,0.0081425782061401,69812,36805,178,34,24037,18,0.9978571722915894,0.9985875119438328,0.9081632653061223,0.0918367346938775,0.839622641509434,0.9992517148202036
old_tests,,1,,,0.9,1,10,0.0,1,24267,39178,330570,14510,72690,196,29164,196,24071,43526,14314,0.0081425782061401,74616,39178,183,40,24031,13,0.9978159640664276,0.9983382493456856,0.9336734693877552,0.0663265306122449,0.820627802690583,0.9994593245716188
old_tests,,1,,,0.9,1,10,0.0,1,24267,39199,330570,14754,83863,195,29659,195,24072,54204,14559,0.0081006979062811,74960,39199,185,36,24036,10,0.99810442164256,0.9985044865403788,0.9487179487179488,0.0512820512820513,0.8371040723981901,0.9995841304167014
old_tests,,1,,,0.8,1,10,0.4,1,24443,24837,386606,12201,49639,194,18039,194,24249,31600,12007,0.0080003299105117,43788,24837,180,42,24207,14,0.9977089555291904,0.9982679698131882,0.9278350515463918,0.0721649484536082,0.8108108108108109,0.9994219891829405
old_tests,,1,,,0.8,1,10,0.4,1,24443,27370,386606,12838,91807,197,22266,197,24246,69541,12641,0.0081250515548956,48842,27370,186,49,24197,11,0.9975453094955612,0.9979790480904068,0.9441624365482234,0.0558375634517765,0.7914893617021277,0.9995456047587574
old_tests,,1,,,0.8,1,10,0.4,1,24443,25941,386606,12427,62010,194,19312,193,24249,42698,12234,0.0080003299105117,46018,25941,178,57,24192,16,0.997013459886266,0.9976493876036124,0.9175257731958762,0.0824742268041237,0.7574468085106383,0.9993390614672836
old_tests,,1,,,0.8,1,10,0.8,1,24443,12152,386606,7121,17368,198,5859,198,24245,11509,6923,0.0081666322953186,18992,12152,168,24,24221,30,0.997790778546005,0.999010105176325,0.8484848484848485,0.1515151515151515,0.875,0.99876293761082
